Title: Gale2013MORB-7

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1433.15 7.491634 17.366118 -90798.058261 2.261608 8.759616 cpx Na0.03Ca0.67Fe''0.35Mg0.80Fe'''0.05Ti0.03Al0.21Si1.85O6 49.5705 1.10971 4.80085 1.65602 11.2332 0 14.4156 16.8304 0.383813 0 0
5000.00 1428.15 8.152374 18.851451 -98786.627735 2.458992 9.517598 cpx Na0.03Ca0.68Fe''0.35Mg0.79Fe'''0.05Ti0.03Al0.21Si1.85O6 49.4486 1.18903 4.82771 1.66845 11.2475 0 14.2275 17.0016 0.389643 0 0
5000.00 1423.15 8.757499 20.201511 -106114.114935 2.639411 10.209177 cpx Na0.03Ca0.69Fe''0.35Mg0.78Fe'''0.05Ti0.04Al0.21Si1.85O6 49.3274 1.27113 4.85782 1.67803 11.2479 0 14.0515 17.1712 0.39505 0 0
5000.00 1418.15 9.312048 21.428893 -112843.674264 2.804436 10.840603 cpx Na0.03Ca0.70Fe''0.35Mg0.78Fe'''0.05Ti0.04Al0.22Si1.84O6 49.2063 1.35612 4.89153 1.68506 11.2354 0 13.8864 17.3391 0.400089 0 0
5000.00 1413.15 9.821156 22.546262 -119038.698279 2.955648 11.418149 cpx Na0.03Ca0.70Fe''0.35Mg0.77Fe'''0.05Ti0.04Al0.22Si1.84O6 49.0846 1.44422 4.92919 1.68988 11.2109 0 13.7312 17.5053 0.404824 0 0
5000.00 1408.15 10.289796 23.565756 -124759.867328 3.094570 11.947820 cpx Na0.03Ca0.71Fe''0.35Mg0.76Fe'''0.05Ti0.04Al0.22Si1.84O6 48.9611 1.53577 4.97126 1.69288 11.1754 0 13.5845 17.6698 0.409323 0 0
5000.00 1403.15 10.735447 24.527617 -130219.849224 3.226413 12.449785 cpx Na0.03Ca0.72Fe''0.35Mg0.75Fe'''0.05Ti0.05Al0.22Si1.83O6 48.8288 1.63563 5.02123 1.69506 11.1269 0 13.4414 17.8373 0.413783 0 0
5000.00 1398.15 11.145202 25.403128 -135261.119218 3.347360 12.909474 cpx Na0.03Ca0.72Fe''0.35Mg0.75Fe'''0.05Ti0.05Al0.22Si1.83O6 48.6931 1.73946 5.07646 1.69606 11.0692 0 13.3049 18.0027 0.418131 0 0
5000.00 1393.15 11.525895 26.208266 -139965.877716 3.459448 13.334828 cpx Na0.03Ca0.73Fe''0.35Mg0.74Fe'''0.05Ti0.05Al0.23Si1.83O6 48.5515 1.84886 5.13817 1.69636 11.0025 0 13.1729 18.1672 0.422457 0 0
5000.00 1388.15 11.910010 27.020600 -144720.270289 3.573257 13.766896 cpx Na0.03Ca0.74Fe''0.34Mg0.73Fe'''0.05Ti0.05Al0.23Si1.82O6 48.4846 1.91062 5.15576 1.68022 10.9669 0 13.0899 18.2888 0.423212 0 0
5000.00 1383.15 12.302249 27.855628 -149573.842318 3.691407 14.215937 cpx Na0.03Ca0.74Fe''0.35Mg0.74Fe'''0.05Ti0.05Al0.22Si1.83O6 48.598 1.85521 5.06366 1.62892 11.0089 0 13.1128 18.3163 0.416259 0 0
5000.00 1378.15 12.634708 28.551949 -153717.591012 3.791646 14.595702 cpx Na0.03Ca0.74Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.22Si1.83O6 48.7027 1.80608 4.97939 1.58034 11.0378 0 13.1348 18.3488 0.410045 0 0
5000.00 1373.15 12.923353 29.146336 -157342.401631 3.878748 14.924638 cpx Na0.03Ca0.74Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.22Si1.83O6 48.7999 1.7621 4.90187 1.53429 11.0562 0 13.1557 18.3855 0.404443 0 0
5000.00 1368.15 13.179225 29.664212 -160580.177450 3.956020 15.215518 cpx Na0.03Ca0.74Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.21Si1.84O6 48.8908 1.72226 4.82994 1.49047 11.0662 0 13.1756 18.4253 0.399332 0 0
5000.00 1363.15 13.408619 30.120141 -163505.564537 4.025343 15.475610 cpx Na0.03Ca0.74Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.21Si1.84O6 48.9759 1.68604 4.76313 1.44882 11.0692 0 13.1942 18.468 0.394667 0 0
5000.00 1358.15 13.616607 30.525832 -166178.763394 4.088232 15.710777 cpx Na0.03Ca0.75Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.21Si1.84O6 49.0559 1.6529 4.70081 1.40915 11.0664 0 13.2116 18.5129 0.390388 0 0
5000.00 1353.15 13.806913 30.889898 -168643.911020 4.145803 15.925328 cpx Na0.03Ca0.75Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.21Si1.85O6 49.1313 1.62243 4.64249 1.37131 11.0585 0 13.2278 18.5597 0.38645 0 0
5000.00 1348.15 13.982335 31.218819 -170934.116562 4.198895 16.122504 cpx Na0.03Ca0.75Fe''0.35Mg0.74Fe'''0.04Ti0.05Al0.20Si1.85O6 49.2026 1.59428 4.58771 1.33515 11.0464 0 13.243 18.608 0.382813 0 0
5000.00 1343.15 14.145027 31.517591 -173074.819749 4.248153 16.304800 cpx Na0.03Ca0.75Fe''0.35Mg0.74Fe'''0.04Ti0.04Al0.20Si1.85O6 49.2703 1.56815 4.53612 1.30054 11.0307 0 13.2571 18.6577 0.379446 0 0
5000.00 1338.15 14.296682 31.790147 -175085.983379 4.294084 16.474180 cpx Na0.03Ca0.75Fe''0.35Mg0.74Fe'''0.04Ti0.04Al0.20Si1.85O6 49.3346 1.54382 4.4874 1.26735 11.0117 0 13.2703 18.7085 0.376321 0 0
5000.00 1333.15 14.438656 32.039638 -176983.566957 4.337094 16.632216 cpx Na0.03Ca0.75Fe''0.35Mg0.74Fe'''0.03Ti0.04Al0.20Si1.85O6 49.396 1.52109 4.44128 1.23549 10.9899 0 13.2826 18.7601 0.373416 0 0
5000.00 1328.15 14.572051 32.268635 -178780.542688 4.377516 16.780189 cpx Na0.03Ca0.76Fe''0.34Mg0.74Fe'''0.03Ti0.04Al0.19Si1.86O6 49.4547 1.49979 4.39753 1.20485 10.9657 0 13.2942 18.8126 0.370711 0 0
5000.00 1323.15 14.697779 32.479264 -180487.611877 4.415622 16.919158 cpx Na0.03Ca0.76Fe''0.34Mg0.74Fe'''0.03Ti0.04Al0.19Si1.86O6 49.5109 1.47977 4.35595 1.17536 10.9392 0 13.3051 18.8656 0.368189 0 0
5000.00 1318.15 14.816601 32.673308 -182113.720304 4.451642 17.050009 cpx Na0.03Ca0.76Fe''0.34Mg0.75Fe'''0.03Ti0.04Al0.19Si1.86O6 49.5648 1.46092 4.31635 1.14693 10.9108 0 13.3153 18.9191 0.365835 0 0
5000.00 1313.15 14.929164 32.852276 -183666.435765 4.485769 17.173494 cpx Na0.03Ca0.76Fe''0.34Mg0.75Fe'''0.03Ti0.04Al0.19Si1.86O6 49.6165 1.44312 4.27858 1.11949 10.8806 0 13.325 18.9731 0.363637 0 0
5000.00 1308.15 15.036019 33.017465 -185152.228879 4.518169 17.290256 cpx Na0.03Ca0.76Fe''0.34Mg0.75Fe'''0.03Ti0.04Al0.19Si1.86O6 49.6664 1.42629 4.2425 1.09299 10.8488 0 13.3341 19.0273 0.361582 0 0
5000.00 1303.15 15.253322 33.424772 -188019.244703 4.583836 17.534422 cpx Na0.03Ca0.77Fe''0.34Mg0.75Fe'''0.03Ti0.04Al0.19Si1.86O6 49.7064 1.40867 4.2249 1.07257 10.8027 0 13.3436 19.0813 0.359863 0 0
5000.00 1298.15 15.483011 33.857967 -191050.624285 4.653283 17.792999 cpx Na0.03Ca0.77Fe''0.34Mg0.75Fe'''0.03Ti0.04Al0.19Si1.87O6 49.743 1.38773 4.21755 1.05646 10.7511 0 13.3535 19.1322 0.358508 0 0
5000.00 1293.15 15.648384 34.148505 -193286.391464 4.703397 17.977409 cpx Na0.03Ca0.77Fe''0.34Mg0.75Fe'''0.03Ti0.04Al0.19Si1.87O6 49.7827 1.36451 4.20724 1.04051 10.7042 0 13.3631 19.1803 0.357332 0 0
5000.00 1288.15 15.771685 34.345685 -195000.470874 4.740858 18.113274 cpx Na0.03Ca0.77Fe''0.33Mg0.75Fe'''0.03Ti0.04Al0.19Si1.87O6 49.8247 1.33953 4.19474 1.02472 10.661 0 13.3726 19.2263 0.356301 0 0
5000.00 1283.15 15.866201 34.478947 -196356.701216 4.769661 18.215898 cpx Na0.03Ca0.77Fe''0.33Mg0.75Fe'''0.03Ti0.04Al0.18Si1.87O6 49.8686 1.31316 4.18057 1.00911 10.6208 0 13.3818 19.2706 0.355401 0 0
5000.00 1278.15 15.940449 34.567136 -197460.175790 4.792362 18.295083 cpx Na0.03Ca0.78Fe''0.33Mg0.75Fe'''0.03Ti0.04Al0.18Si1.87O6 49.9137 1.28573 4.16516 0.993701 10.5829 0 13.3907 19.3135 0.354631 0 0
5000.00 1273.15 16.048405 34.725599 -199033.585891 4.824796 18.411557 cpx Na0.03Ca0.78Fe''0.33Mg0.75Fe'''0.03Ti0.04Al0.18Si1.87O6 49.9049 1.29939 4.18789 0.98315 10.4983 0 13.3835 19.3872 0.355635 0 0
5000.00 1268.15 16.124830 34.814206 -200177.525401 4.847419 18.490437 cpx Na0.03Ca0.78Fe''0.33Mg0.75Fe'''0.03Ti0.04Al0.19Si1.87O6 49.8975 1.3102 4.20559 0.974748 10.4359 0 13.3655 19.4524 0.35819 0 0
