Title: MORB_Gale2013-1

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1063.15 8.791429 16.579751 -111257.083847 2.466998 9.494629 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.81Si1.19O6 30.6321 14.1143 17.6171 0.931969 7.61773 0 5.85354 22.7854 0.447846 0 0
5000.00 1058.15 8.807363 16.561186 -111529.414504 2.470697 9.505686 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.81Si1.19O6 30.5687 14.1582 17.6752 0.912685 7.60543 0 5.83505 22.7986 0.446126 0 0
5000.00 1053.15 8.822753 16.541269 -111794.719737 2.474245 9.516083 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.41Al0.81Si1.18O6 30.5059 14.2017 17.7327 0.893659 7.59334 0 5.81678 22.8116 0.444388 0 0
5000.00 1048.15 8.837616 16.520039 -112053.210744 2.477647 9.525841 cpx Na0.03Ca0.95Fe''0.25Mg0.34Fe'''0.03Ti0.42Al0.81Si1.18O6 30.4436 14.2446 17.7896 0.874891 7.58145 0 5.79872 22.8245 0.442633 0 0
5000.00 1043.15 8.851970 16.497534 -112305.090535 2.480907 9.534976 cpx Na0.03Ca0.95Fe''0.25Mg0.33Fe'''0.03Ti0.42Al0.82Si1.18O6 30.382 14.2872 17.8459 0.856379 7.56977 0 5.78087 22.8371 0.440859 0 0
5000.00 1038.15 8.865831 16.473790 -112550.554476 2.484031 9.543507 cpx Na0.03Ca0.95Fe''0.25Mg0.33Fe'''0.02Ti0.42Al0.82Si1.18O6 30.3208 14.3293 17.9016 0.838125 7.55828 0 5.76322 22.8496 0.439067 0 0
5000.00 1033.15 8.879214 16.448842 -112789.790803 2.487023 9.551449 cpx Na0.03Ca0.95Fe''0.24Mg0.33Fe'''0.02Ti0.42Al0.82Si1.17O6 30.2603 14.3709 17.9567 0.820127 7.547 0 5.74577 22.862 0.437255 0 0
5000.00 1028.15 8.892135 16.422723 -113022.981129 2.489888 9.558820 cpx Na0.03Ca0.95Fe''0.24Mg0.33Fe'''0.02Ti0.42Al0.82Si1.17O6 30.2002 14.4122 18.0112 0.802385 7.5359 0 5.72852 22.8742 0.435422 0 0

clinopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5
5000.00 1533.15 2.707869 6.519548 -34074.464069 0.839623 3.249532 cpx Na0.02Ca0.74Fe''0.19Mg0.93Fe'''0.03Ti0.01Al0.19Si1.89O6 51.6772 0.292633 4.37041 1.16644 6.36161 0 17.0919 18.7912 0.24862 0 0
5000.00 1528.15 5.342298 12.836368 -67155.953931 1.654404 6.401203 cpx Na0.02Ca0.74Fe''0.20Mg0.92Fe'''0.03Ti0.01Al0.20Si1.89O6 51.4832 0.31914 4.55533 1.21496 6.48355 0 16.839 18.8451 0.25973 0 0
5000.00 1523.15 7.855147 18.836695 -98639.522603 2.429518 9.398162 cpx Na0.02Ca0.74Fe''0.20Mg0.91Fe'''0.03Ti0.01Al0.20Si1.88O6 51.2899 0.346903 4.73946 1.2633 6.61106 0 16.5946 18.8838 0.271028 0 0
5000.00 1518.15 10.256342 24.546419 -128652.145893 3.168155 12.253144 cpx Na0.02Ca0.74Fe''0.21Mg0.89Fe'''0.04Ti0.01Al0.21Si1.88O6 51.0971 0.375942 4.92273 1.31144 6.74308 0 16.3572 18.91 0.28253 0 0
5000.00 1513.15 12.554744 29.988540 -157307.666621 3.873169 14.977465 cpx Na0.02Ca0.74Fe''0.21Mg0.88Fe'''0.04Ti0.01Al0.22Si1.87O6 50.9049 0.406261 5.10504 1.35933 6.8788 0 16.1256 18.9258 0.294248 0 0
5000.00 1508.15 15.288524 36.466938 -191095.960376 4.709681 18.222517 cpx Na0.02Ca0.74Fe''0.22Mg0.88Fe'''0.04Ti0.01Al0.22Si1.87O6 50.8208 0.430166 5.12199 1.38818 7.21333 0 16.0652 18.6581 0.302221 0 0
5000.00 1503.15 18.052860 43.008767 -224918.871437 5.552314 21.502088 cpx Na0.02Ca0.72Fe''0.24Mg0.88Fe'''0.04Ti0.01Al0.22Si1.87O6 50.785 0.450105 5.05765 1.40809 7.66282 0 16.0775 18.2512 0.307615 0 0
5000.00 1498.15 20.579628 48.964904 -255535.651529 6.318862 24.491141 cpx Na0.02Ca0.70Fe''0.25Mg0.88Fe'''0.04Ti0.01Al0.22Si1.87O6 50.7407 0.470011 4.99685 1.429 8.12482 0 16.0702 17.8561 0.312372 0 0
5000.00 1493.15 22.897219 54.402472 -283328.428619 7.018348 27.222665 cpx Na0.02Ca0.69Fe''0.27Mg0.88Fe'''0.04Ti0.01Al0.21Si1.87O6 50.6875 0.490205 4.93999 1.45096 8.59262 0 16.04 17.4822 0.316602 0 0
